1,298558,30
5481150,164142,30
2845653,84222,25
794453,249987,20
794453,267781,1
2428233,328847,18
1905650,210810,14
4616106,262810,13
5270594,364547,12
2079807,157460,11
8624490,157460,10
721376,320998,9
5884648,364547,9
6594394,18297,9
7801273,425843,9
16305028,455488,9
3936938,364547,8
9461368,298558,8
9470261,84415,8
11434144,47652,8
1880072,320998,7
2092741,262600,7
3681990,320998,7
4341071,298558,7
4679668,364547,7
4766829,364547,6
4766829,7528,1
5399313,220213,5
5399313,188032,2
14582016,353366,7
588692,404765,3
588692,7673,2
588692,109912,1
1481711,404765,3
1481711,62990,2
1481711,20069,1
1664223,320998,6
2046102,410695,6
2074670,237368,6
2383112,248436,6
4082938,170899,6
7292632,254783,6
7468655,162916,4
7468655,157460,2
7882175,116089,3
7882175,89339,1
7882175,150302,1
7882175,347230,1
8169284,364547,6
9389259,262810,6
14722306,311360,6
195823,116089,3
195823,412803,2
363330,421077,5
448404,157460,2
448404,249987,2
448404,7528,1
807719,408401,2
807719,28413,1
807719,150302,1
807719,347230,1
1028882,162157,5
1591447,364547,5
1643330,364547,4
1643330,7528,1
1678142,249046,5
1766330,28413,1
1766330,150302,1
1766330,193887,1
1766330,347230,1
1766330,412803,1
1825161,220213,5
2281043,364547,5
2918933,249987,3
2918933,37972,2
3488935,12445,5
4136959,89339,1
4136959,116089,1
4136959,123678,1
4136959,150302,1
4136959,412803,1
4435387,84222,5
4662940,28413,1
4662940,30271,1
4662940,37972,1
4662940,150302,1
4662940,215036,1
4766099,298558,5
6288726,12445,5
7182075,320998,5
7205444,249046,5
7294268,170899,5
8219811,428373,5
8608005,12445,4
8608005,76223,1
10194755,7690,5
11359783,252026,5
15555010,417634,5
7496,364547,3
7496,7673,1
127471,320998,4
183028,28332,1
183028,110987,1
183028,150302,1
183028,412803,1
256225,116089,2
256225,110987,1
256225,412803,1
331071,364547,2
331071,28413,1
331071,347230,1
338842,364547,4
525836,51497,4
528055,116089,2
528055,347230,2
546004,364547,4
660437,404765,4
665530,420410,4
703990,317907,4
767628,22451,4
775736,28413,1
775736,347230,1
775736,408401,1
775736,412803,1
895000,116089,1
895000,150302,1
895000,193887,1
895000,347230,1
903941,438914,4
1153260,324208,4
1177909,220213,3
1177909,188032,1
1205499,157460,4
1243924,94849,2
1243924,43178,1
1243924,109912,1
1401895,40924,3
1401895,267781,1
1417123,162916,2
1417123,386417,1
1417123,404765,1
1478252,308680,4
1493755,298558,4
1552779,222031,4
1565010,20069,4
1871619,410695,4
1892357,364547,4
2020945,161764,4
2311271,220144,4
2379778,877,4
2402644,62990,3
2402644,157460,1
2404692,410695,4
2585900,209520,4
2607476,157460,4
2694716,7671,3
2694716,7673,1
2755581,170899,4
2777157,84463,4
2837112,429908,4
2838811,243679,4
2910789,191648,2
2910789,7546,1
2910789,236144,1
2963772,157460,2
2963772,7528,1
2963772,7673,1
3095932,198485,4
3107404,364547,4
3117337,364547,4
3150231,162916,3
3150231,7671,1
3391144,274164,3
3391144,47462,1
3434336,320998,4
3436706,249987,4
3644008,249987,4
3653228,89339,1
3653228,116089,1
3653228,196102,1
3653228,412803,1
3721843,410695,4
3826792,254714,4
3893750,116089,1
3893750,150302,1
3893750,347230,1
3893750,412803,1
3902735,364547,4
4056826,221694,2
4056826,267781,2
4065939,284143,4
4327046,220213,3
4327046,249987,1
4594672,28413,1
4594672,150302,1
4594672,193887,1
4594672,412803,1
4993355,102303,4
5068564,114480,3
5068564,255043,1
5169727,247999,4
5238969,387089,4
5354318,88055,2
5354318,12439,1
5354318,239617,1
5382586,333946,4
5702454,89339,1
5702454,116089,1
5702454,347230,1
5702454,412803,1
5802676,162916,4
5922392,433202,4
5939460,7673,2
5939460,404765,2
6133159,248436,3
6133159,404765,1
6620049,317907,2
6620049,76223,1
6620049,116089,1
6780040,386041,4
6805090,433202,4
7049579,28413,1
7049579,150302,1
7049579,347230,1
7049579,412803,1
7341486,382595,3
7341486,67930,1
7413222,28413,1
7413222,116089,1
7413222,150302,1
7413222,347230,1
7470597,249987,4
7488305,265257,4
7575329,12882,4
8461228,47652,4
8512303,157460,4
8842971,12445,1
8842971,76223,1
8842971,81642,1
8842971,400546,1
8984124,298558,4
9007016,30271,2
9007016,28413,1
9007016,150302,1
9061066,139794,4
9233034,364547,4
9257112,116089,1
9257112,193887,1
9257112,347230,1
9257112,412803,1
